2025-04-27T18:05:49.476853,AkashDurai,DEPOSIT,30000.0
2025-04-27T18:06:40.101569200,AkashDurai,DEPOSIT,30000.0
2025-04-27T18:07:01.954116400,AkashDurai,DEPOSIT,30000.0
2025-04-27T18:16:38.912417,AkashDurai,DEPOSIT,40000.0
2025-04-27T18:18:15.642258600,AkashDurai,DEPOSIT,40000.0
2025-04-27T18:18:55.180032900,AkashDurai,DEPOSIT,4000.0
2025-04-27T18:23:55.675353800,AkashDurai,DEPOSIT,40000.0
2025-04-27T18:27:24.046013800,AkashDurai,DEPOSIT,40000.0
2025-04-28T15:40:51.977443100,AkashDurai,Transfered_Totest,2000.0
2025-04-28T15:40:51.983785600,test,Recieved_FromAkashDurai,2000.0
2025-04-28T15:45:12.428009100,AkashDurai,WITHDRAW,10000.0
2025-04-28T15:48:06.913380500,test,DEPOSIT,10000.0
